ethics_first_name,ethics_last_name,contribution_first_name,first_name_similarity,,Dept/Board,district,Party,Amount,original_url,ammend_url,dates,File Year
NA,Farrell,David,NA,,Senate,10,Democrat,720.15,NA,NA,NA,NA
Les S.,Ihara,Les,50.00%,,Senate,10,Democrat,12903,http://files.hawaii.gov/ethics/disc/2016/FinLong_8885.pdf,,01/31/2016,2016
Angus L.K.,McKelvey,Angus,50.00%,,House,10,Democrat,46542.34,http://files.hawaii.gov/ethics/disc/2016/FinLong_8525.pdf,,01/11/2016,2016
NA,Phillips,Arnold,NA,,Senate,10,Libertarian,12982.63,NA,NA,NA,NA
Mark Kaniela,Ing,Mark,33.33%,,House,11,Democrat,47457.24,http://files.hawaii.gov/ethics/disc/2016/FinLong_8941.pdf,,02/01/2016,2016
NA,Pekus,Daniel,NA,,House,11,Republican,1635,NA,NA,NA,NA
Brian T.,Taniguchi,Brian,62.50%,,Senate,11,Democrat,45155,http://files.hawaii.gov/ethics/disc/2016/FinLong_8642.pdf,,01/23/2016,2016
NA,Tegarden,Deidre,NA,,House,11,Democrat,88809.88,NA,NA,NA,NA
Brickwood M.,Galuteria,Brickwood,75.00%,,Senate,12,Democrat,14101.01,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11208.pdf,,01/30/2016,2016
NA,Lawrence,Tiare,NA,,House,12,Democrat,20484.92,NA,NA,NA,NA
NA,Pohle,Richard,NA,,House,12,Republican,200,NA,NA,NA,NA
Kyle T.,Yamashita,Kyle,57.14%,,House,12,Democrat,32825,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11062.pdf,,01/25/2016,2016
NA,Chun Oakland,Suzanne,NA,,Senate,13,Democrat,650,NA,NA,NA,NA
Lynn P.,DeCoite,Lynn,57.14%,,House,13,Democrat,78019.13,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11126.pdf,,01/28/2016,2016
NA,Haller,Alexander,NA,,House,13,Democrat,8614.95,NA,NA,NA,NA
NA,Iwamoto,Kim Coco,NA,,Senate,13,Democrat,46945.22,NA,NA,NA,NA
NA,Nakoa,Keone,NA,,Senate,13,Democrat,46908.48,NA,NA,NA,NA
NA,Nikhilananda,Nick,NA,,House,13,Green,950,NA,NA,NA,NA
